Timestamp,Cliente,Ambiente,Sección,Descripción,P95 (ms) de la última versión 2021,P95 (ms) de la versión 2020,Porcentaje de mejora/empeora
2025-09-22T23:54:07-03:00,Nerdearla,Production,Compra,Agregar todos los items al carrito,461.0,616.5,25.22
2025-09-22T23:54:07-03:00,Nerdearla,Production,Compra,Checkout de la compra,882.0,1296.3,31.96
2025-09-22T23:54:07-03:00,Nerdearla,Production,Compra,Confirmar la compra,101.0,399.7,74.73
2025-09-22T23:54:07-03:00,Nerdearla,Production,Compra,Ingresar al carrito lleno,80.0,200.6,60.12
2025-09-22T23:54:07-03:00,Nerdearla,Production,Compra,Ingreso al carrito vacío,218.0,677.5,67.82
2025-09-22T23:54:07-03:00,Nerdearla,Production,Home,Eliminar todos los items del carrito,461.0,551.0,16.33
2025-09-22T23:54:07-03:00,Nerdearla,Production,Home,Ingreso al home,207.0,542.3,61.83
2025-09-22T23:54:07-03:00,Nerdearla,Production,Home,Login,70.0,169.7,58.75
2025-09-22T23:54:07-03:00,Nerdearla,Production,Home,Navegabilidad entre items mientras se añaden al carrito,1652.0,2842.5,41.88
2025-09-22T23:54:07-03:00,Nerdearla,Production,Login,Login y preseteo de datos,1029.0,6563.6,84.32
