Timestamp,Cliente,Ambiente,Sección,Descripción,Versión,P95 (ms) de la última muestra,P95 (ms) histórico,Porcentaje de mejora/empeora
2025-09-22T23:58:13-03:00,Nerdearla,Production,Compra,Agregar todos los items al carrito,2021,474.0,473.35,-0.14
2025-09-22T23:58:13-03:00,Nerdearla,Production,Compra,Checkout de la compra,2021,1063.0,1053.95,-0.86
2025-09-22T23:58:13-03:00,Nerdearla,Production,Compra,Confirmar la compra,2021,302.0,291.95,-3.44
2025-09-22T23:58:13-03:00,Nerdearla,Production,Compra,Ingresar al carrito lleno,2021,198.0,192.1,-3.07
2025-09-22T23:58:13-03:00,Nerdearla,Production,Compra,Ingreso al carrito vacío,2021,275.0,272.15,-1.05
2025-09-22T23:58:13-03:00,Nerdearla,Production,Home,Eliminar todos los items del carrito,2021,469.0,468.6,-0.09
2025-09-22T23:58:13-03:00,Nerdearla,Production,Home,Ingreso al home,2021,432.0,420.75,-2.67
2025-09-22T23:58:13-03:00,Nerdearla,Production,Home,Login,2021,75.0,74.75,-0.33
2025-09-22T23:58:13-03:00,Nerdearla,Production,Home,Navegabilidad entre items mientras se añaden al carrito,2021,1752.0,1747.0,-0.29
2025-09-22T23:58:13-03:00,Nerdearla,Production,Login,Login y preseteo de datos,2021,1498.0,1474.55,-1.59
