Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) de la última muestra,P95 (ms) histórico,Porcentaje de mejora/empeora del p95,Mediana (ms) de la última muestra,Mediana (ms) histórica,Porcentaje de mejora/empeora de la mediana
2025-09-21T15:48:00-03:00,Nerdearla,Production,Compra,2020,1149.4,1134.6,-1.3,465.0,434.5,-7.02
2025-09-21T15:48:00-03:00,Nerdearla,Production,Home,2020,1852.6,2242.0,17.37,453.0,477.5,5.13
2025-09-21T15:48:00-03:00,Nerdearla,Production,Login,2020,1763.0,1755.65,-0.42,1763.0,1650.0,-6.85
